id,prompt,story,explanation1,explanation2,explanation3,explanation4,explanation5,explanation6
76,She always started feeling it when she was two landings down.,"She was ticked off, again. They knew it was a problem with her. She could n't help it. She 'd been raised to finish what she started. But they constantly scheduled her for just start of these long flights. But she had an ace in the hole, this time. She 'd gotten her certifications, and she was commander on all her flights from now on. Whenever she had two more takeoffs than landings, she began to feel anxiety. The feeling that she was n't coming back this time because she 'd left something undone. Like forgetting to put up the landing gear, or raise the flaps after takeoff. Well, if she had taken off but had n't landed the damn plane at all, she had left something undone. Naturally that causes anxiety. But as commander, she could take the yoke herself, anytime she wanted. Just to be sure, she told herself, she would make a point of landing 20 of 30 more times in the next year than she took off. And no more anxieties about being two landings down."," 4 — The story matches the prompt, except for one or two small aspects.

The story matches the prompt in that it deals with a person who feels anxiety when they are two landings down on a flight. However, the prompt did not mention any specific certifications or being a commander, which are elements in the story that are not in the prompt. Nevertheless, the main theme of the story aligns with the prompt, and the story does a good job of expanding on that theme.", 4," 4 — At least one character emotionally involved you, but minor details prevented you from completely relating to them.

I found the story to be emotionally engaging, as the protagonist's anxiety about not finishing what she started was relatable. However, the focus on her anxiety about not completing tasks and the specific scenario of the plane takeoff and landing prevented me from completely relating to her on an emotional level."," 3

I would rate this story a 3 on the Surprise scale. The ending was somewhat predictable after reading half of the story, as the protagonist's fear of not completing tasks and her desire to address the problem by increasing her number of landings made the resolution fairly clear. However, the story was engaging and well-written, and the issue of anxiety and perfectionism was relatable."," 4 — The story almost kept me engaged until the end.

The story was interesting, and I found myself wanting to know how she would solve the problem of her anxiety. The protagonist's determination to overcome her fear was admirable, and I enjoyed reading about her strategy to overcome it. The story kept me engaged until the end, but I wouldn't say it was so engaging that I wanted a sequel."," 3

I would rate this story a 3 on Complexity. While it does involve a complex character with anxiety and a specific quirk related to her job, the setting is relatively simple. The story is focused on a single character and her personal struggle with anxiety. The setting is limited to a plane and the character's home life. There is no indication of a larger plot or intricate details outside of the main character's thoughts and feelings."
80,"On the fourth floor of your elementary school there is n't a swimming pool, there is n't a bowling alley, but there 's a ...","I 've waited 15 years for this very day. Today, I start my teaching job at my old elementary school. Whenever I told anyone my reasons for coming back they would always laugh and call me crazy, even my closest friends. But today, I 'll prove them wrong. Today, I will finally see what 's actually on the mythical, “Fourth Floor”. There had always been rumors circulating about it, I even overheard two 3rd graders talking about earlier. Back when I went here, everyone believed there used to be a swimming pool up there, but after a younger student drowned they decided to close it, and now his ghost haunts the school. My older brother claimed that the teachers slept up there, in strange, coffin like beds. All I know is that there 's something there, something that needs to be kept hidden. Now, I would finally be able to solve the mystery for myself. I stood in front of the tall, ominous door that led to the 4th floor. It was a heavy steel door, something that belonged in a high security prison, not an elementary school. The door made a heavy thud as I unlocked it, and slowly, I pushed it open. A gust of cold, heavy air flowed out of the room, followed by the distinct smell of old books. I flicked on the light switch and the florescent lights lit up one by one. I could n't believe my own eyes, on the fourth floor there was n't a swimming pool or coffins, but rows upon rows of file cabinets stacked up to the ceiling. There was only one thing that this could be. On the fourth floor of my elementary school, permanent records were stored. At first I doubted it, there was no way such a place could exist. But after a little searching I had found my name. It had everything in it, there was a write up about the time I had shot chocolate milk out of my nose at my teacher, it had all of my old tests, all of my projects, everything. Everything I had done was carefully recorded and preserved, and locked away for the ages. Do what you want with this information, you can choose to believe it or not to, I honestly do n't know If I believe it myself. I do n't know if there 's something like this at every school, but I do know there is something. The secret basement, the hidden door, the fourth floor. Every school has its legends, its up to you to find the truth.", 4, 4 Coherence, 4," 3 — The ending was predictable after half of the story.

I rated the story a 3 because, after the protagonist mentioned that there was ""something that needs to be kept hidden"" and talked about the rumors surrounding the fourth floor, it became evident that the secret was going to be something mundane, such as permanent records. The story did a good job of building up suspense, but the ending was predictable once the protagonist began investigating the fourth floor.", 4 — The story almost kept me engaged until the end.," I would rate this story a 3 on Complexity. It involves a complex concept (the mystery of the Fourth Floor), a realistic character (the protagonist), and an intricate plot (unraveling the mystery), but lacks detailed descriptions and an underlying history or circumstances."
81,fire is a manifesting force that can only be put out through hand to hand combat. You are training to become a firefighter,"**Lesson 1: Fire does n't care** Fire does n't have an objective. It does n't have a strategy or a plan. It does n't even hate you, Fire does n't have feelings. Fire burns to make more fire, like a plague makes more and more people sick. A plague does n't care about who or why, it just cares that it is spreading. Fire is a plague. **Lesson 2: Fire can be hurt** Fire is too simple to know it, but it can be hurt all the same. Kick at it 's heart, and snuff out it 's very essence. Use your boots, when you can, keep your face away from the flames. Use your hands, if you have to, it is better than letting fire spread wildly. Use your body, if you must. To protect those whom we are sworn to rescue. To protect our brothers in arms. **Lesson 3: Rely on your brothers. Rely on yourself** -- - Those were the only three lessons that were given to us, before we were sent into a conflagration. There was also a lot of physical training, certainly, to the point that I could accurately throw a flying kick to any surface from shoulder level down. I could even use my gloved hands with such speed and accuracy that the flames never seemed to touch them. Of course, the training grounds were nothing like the field. In the field ... strange things happened. In the field, Fire is more alive. It is not like the captive fire that we create and promptly snuff out in our barracks. It is not even like the careful, tentative fire that we fought on our graduation exam. In the field, Fire is more primal, more raw ... more violent. It pretends to be snuffed, only to bounce back a moment later. In training they told us never to turn our back to Fire. In the field, we learned just how hard it is to follow that maxim. But we fight on. We fight on because there is no hiding from Fire, not if we let it grow. We fight on because we are the only wall to protect our families from this inferno. We fight on, because there is no better choice. Once upon a time, I heard, they used water to douse the flames. Water, such a precious gift, wasted so recklessly. We fight on, with parched throats and dry eyes, because only after a successful day in the field will we be given our water rations to share with our loved ones. Meagre as they are, we fight on because to stop would be to die."," 4 — The story matches the prompt, except for one or two small aspects.

The story matches the prompt, but it does not explicitly mention the need for hand-to-hand combat to put out fires. However, the story does imply that fighting fire is a matter of physical confrontation, as the protagonist has to rely on their training and physical abilities to combat the fire. The story also demonstrates that fire can be hurt by kicking or snuffing out its essence, which is a form of hand-to-hand combat.", 4 Coherence," 4

I would rate this story a 4 on the empathy scale. While the characters are not overly developed, I can relate to the emotions they experience in fighting against fire. The characters are motivated by protecting their loved ones and fighting against the fire, which creates a sense of urgency and purpose in their actions. The story does a good job of making the reader understand the emotions and motivations of the characters, but it falls short of a full emotional connection."," 4

The ending surprised me, but it would have been difficult to predict. Although the story foreshadows the importance of firefighters and their dedication to their work, the specific events and intensity of the situation were not easily predictable."," 4 — The story almost kept you engaged until the end.

The story had an interesting and unique premise, as it revolved around fire being a manifesting force that can only be put out through hand-to-hand combat. The lessons and training provided an engaging context for the story, and the descriptions of the fire's behavior were vivid and immersive. Additionally, the emphasis on teamwork and relying on oneself and others added a layer of depth to the story. However, there were a few moments that felt a bit repetitive and some parts that could have been more developed or better connected. Overall, the story was engaging and worth the read, but it could have been even more so with some minor improvements."," 3

The story is somewhat developed. It involves complex concepts, realistic characters, and an intricate plot. However, it lacks precise descriptions and underlying history or circumstances."
82,"Meet and Greet/Question of the Week # 2: When did you discover that you enjoyed writing, and why do you do it?","I 've enjoyed writing since I was a small child, to be honest. I have vague memories of having to write and illustrate a story about a duck in like 2nd or 3rd grade, and I think that is what got me started. It was n't until about 9th grade that I got any good at it, to be honest. Since then, I 've been writing random poetry and short stories when the mood strikes me. I keep writing because, like many others, it 's a way to escape myself for awhile in a productive fashion. I 've always been a daydreamer, writing just lets me put a lot of those daydreams down on paper. I get ideas or I need to vent emotions, and I get an image in my head of a scene that I just need to express in words, so I open up the laptop or grab a piece of paper and I start writing."," 3 — The story roughly matches the prompt.

The story roughly matches the prompt, as it discusses when the author discovered they enjoyed writing and why they continue to do so. However, it does not directly address the ""Meet and Greet/Question of the Week"" aspect of the prompt, which asks for a question to be answered.", 4," 3

I rated the story a 3 on the Empathy scale because I recognized specific emotions in at least one character. The character mentions that they started writing at a young age and continued because it is a way to escape themselves and put their daydreams on paper. I understood the emotions of needing to express themselves and escape reality, but there were no strong emotions that fully connected me to the character."," 5

I would rate this story a 5 on the scale of surprise. Although the ending was predictable in the sense that the person enjoys writing and keeps doing it to escape and express themselves, the specific reasons behind it were not easily predictable. The person's vivid memories from childhood and their experiences with daydreaming and emotional venting were not explicitly mentioned in the story, making it a bit unexpected when they revealed their motivations for writing."," 3 — The story was mildly interesting.

The story was mildly interesting because it shared a personal experience about the writer's journey with writing. I appreciated the candidness and honesty in the story, and I found it relatable. However, the story lacked depth and could have benefited from more elaboration on the writer's feelings and experiences."," I would rate this story a 2 on Complexity. The story is simple and involves one or two characters, a simple plot, and no complex concepts. The writing is clear and straightforward, but it lacks depth and development."
83,A letter to your soul mate but its ten years until you meet them.,"Hi Lucy. You don’t know me, but in ten years we’ll know each other very well. I’m sure that you’ll dismiss this letter as the ramblings of a mad woman, but I hope you remember some of it when we finally meet. My name’s Josie, and I am your soulmate. I know, I sound crazy, but it’s true. In ten years we’ll meet and everything will be wonderful, but until then I am counting the days. I hope this letter finds you well. I hope you are happy with where you are in life, and I hope you read this letter soon. I know it’s cryptic, but it will all make sense. I’m not really sure what to say, so I’ll leave it here. Don’t try and find me before our time. Love, Josie. P.S – If you didn’t know you liked women, Surprise?", 4," 3 — The story mostly makes sense but has some incoherences.

The story has a unique and interesting concept, as it involves a letter written to one's soulmate ten years before they meet. However, there are a few incoherences that make it difficult to fully understand the story. For example, the mention of being ""your soulmate"" is not really explained, and it is unclear how they found out about each other. Despite these issues, the story is engaging and intriguing, which is why I gave it a rating of 3."," 4

I rated the story a 4 on Empathy because there were minor details that prevented me from completely relating to the characters, but I still recognized specific emotions in them. Josie, the main character, seemed to be excited and hopeful about meeting her soulmate, Lucy, in ten years, which made me feel happy for her. On the other hand, Lucy might have been a bit confused or skeptical about the letter, which made me feel a bit sad for her. Overall, I could connect to the characters' emotions on a basic level but not on a deeper, more personal one."," 4 - The ending surprised me, but would have been difficult to predict.

The story starts with the main character, Josie, writing a letter to her soulmate, Lucy, who she has not yet met. The letter is cryptic, and the reader is unsure of the purpose of it. As the story progresses, it becomes clear that Josie is trying to communicate her feelings for Lucy without revealing too much. The surprise element comes in when Josie mentions that she hopes Lucy knows she likes women. This is unexpected and adds a new dimension to the story, but it is not completely out of the blue. The clues in the story are subtle, making it difficult to predict, but not impossible. Overall, the ending surprised me, but it could have been predicted with enough attention to detail."," 4 — The story almost kept you engaged until the end.

I found the story interesting. It had a unique premise of writing a letter to someone you haven't met yet, and it created a sense of mystery and intrigue. I wanted to know more about the characters and their relationship, but it didn't quite keep me engaged until the end."," 3

I would rate this story a 3 on the Complexity scale because it involves a simple setting and plot but has more depth than a 1 or 2. The main character, Josie, is introduced and has a distinct voice, while the concept of a soulmate adds some complexity to the story. The letter format also adds some intrigue. However, it is not as developed as a 4 or 5, lacking more complex concepts, realistic characters, and precise descriptions."
85,"Teleportation exists, and commercial teleport stations provide instantaneous travel all over the world. As many times before, you step on the transport pad. The machine activates. To you nothing happens, but another you, identical to you in every way, has materialized at your destination.","“We’ve got a malfunction on 3.” “That’s new. What’s the destination? ” “Phnom Penh.” “Can’t they handle it? ” “The passenger’s exited just fine. He’s already out of there. The problem is on our end.” “So the passenger’s been written out properly.” “The read/write worked just fine. That’s not the issue. It’s the delete that failed.” “You’re kidding me. Does the passenger know? ” “No. He looks confused. He just thinks he hasn’t been transported.” “Well, that’s good at least. Can’t have him going around telling people. Who’s on clean up? ” “You.” “Goddamnit. I hate this part. Is the booth ready? ” “Yep. Shotgun, too.” “Fantastic. Let Maintenance know about 3. It better be cordoned off by the time I get back.” “Will do. Have fun! ” “No promises.”"," 3 — The story roughly matches the prompt.

Explanation: The story is set in a world where teleportation exists, but it focuses on a malfunction at a commercial teleport station rather than the everyday use of the technology. While the premise of teleportation is present, the story diverges from the prompt in its focus on a technical issue rather than the personal experiences of the characters."," 3

The story mostly makes sense but has some incoherences. The setting is a world with teleportation, and there is a malfunction in one of the teleport booths. The problem is described as a ""delete"" failing, which is a bit unclear, but the story still manages to convey the main idea and the urgency of the situation. However, there are some incoherences, such as the mention of a ""shotgun"" and the fact that the passenger is unaware of the malfunction, which makes the story not entirely coherent."," 1

I would rate the story a 1 on Empathy because the characters seemed apathetic to me. They appeared to be more concerned about maintaining the teleportation system than the well-being of the passenger who was experiencing a malfunction. There was no clear emotional connection or empathy between the characters and the audience."," 4

The story was surprising because it showed a malfunction in the teleportation system, which resulted in the creation of an extra person, but the ending still seemed plausible. The guidelines suggest that it was difficult to predict the exact ending, so I give it a rating of 4."," 3 — The story was mildly interesting.

I found the story to be mildly interesting, as it explored a unique concept of teleportation and the potential consequences of a malfunction. However, it did not completely captivate me, and I did not find myself wishing there was a sequel. The story was concise and provided a clear understanding of the situation, but it was not particularly engaging or thrilling.", 2
87,Write something that goes with this soundtrack.,"I knelt down, blood still on my clothes, asking for forgiveness to these statues around me. I was never religious, but sometimes life makes you do things you never usually do. What I 've done in life can not be undone, a mothers have lost sons, sisters have lost brothers and kids have lost their dads. I am not a sinner, but I have sinned; it 's the business I am in. I first killed a man at the age of 13 with my bare hands, choked him until he went cold. I 'm 52 now -- probably coming close to my last few years in this life, but there 's one thing I do n't regret and it 's taking the life of a criminal who did n't belong. I hunt evil people who 've caused misery to communities and I believe I 've done the right thing so far. I got up from my knees and left San Jose church, which my family visited every few Sundays growing up. I took the last step onto the sidewalk when I felt the barrel of a .357 magnum being pressed against the back of my head. I did n't process what was happening because it had never happened. The world went silent and I could almost hear the finger tightening on the trigger when the loud bang rang through the streets. All I had was 7 seconds before I saw black and felt my body tensing and going into shock. I hope they serve tequila in hell."," 4 — The story matches the prompt, except for one or two small aspects.

I rated the story a 4 because while the story does match the prompt in that it involves a person reflecting on their past actions and being confronted with the possibility of their own death, it does not do so in a way that directly reflects the soundtrack or provides a cohesive narrative that would befit the prompt. The story is more focused on the character's past actions and the morality of their profession rather than the emotional impact of the soundtrack."," I would rate the story a 3. The story has an understandable plot, but there are some incoherences, such as the protagonist's sudden change of mind about his past actions and the sudden ending."," 4

I rated the story a 4 on Empathy because the characters' emotions were somewhat recognizable and relatable, but I didn't feel completely connected to them. The protagonist's remorse and guilt for their actions, as well as their fear and acceptance of their fate, were understandable and emotional. However, the story lacked the depth and detail to fully immerse me in the characters' lives and experiences."," 4

I would rate the story a 4 on a scale of 1 to 5 for Surprise. The ending was somewhat unexpected, but it did not come completely out of nowhere. There were hints throughout the story that suggested the character's fate was not going to be a happy one. The final scene was surprising, but not completely unpredictable."," I would rate the story a 3 on Engagement. I found a few interesting elements in the story, such as the protagonist's job and his past experiences. However, I found the story somewhat predictable and not particularly engaging."," 3

I would rate the story a 3 on Complexity because it involves one or two characters, a simple plot, and precise descriptions. While it has a complex theme of a man who is not religious but believes in hunting evil people, the setting is still relatively simple with the main character visiting a church and then being confronted with a gun. There is an indication of time and location, but not an intricate plot or complex concepts."
89,"Write a rearrangeable story. Write two or more paragraphs that can be read in any order to form a unique, coherent story.","He looked out from the veranda, now his veranda, with a shameful, sinking pride, the sort of pride that could turn a man into the very monster he had just defeated. He leaned on the railing and let out a heavy sigh. Abraham, the oldest slave on the lot, hobbled over and clasped his hand over Homer 's, looking through him. The weight of his gleaming gaze forced Homer to meet his eyes. Abraham drew in deeply, as though he were about to speak, his brow furrowing over his powerful eyes, which were circumscribed with wrinkles. He exhaled deeply and quickly, an unsatisfying response. Homer could not detect the sentiment buried under the man 's expressions. “What would you have had me do? They killed her .” He slumped down on the railing further and began to quiver, despite the hot Alabama sun that stared overhead. Anguished cries lept muffled from the hotbox in the yard and lingered in the heavy air, droning on like a mosquito. “I pass no judgement ,” Abraham said lowly. “Today is something you will think about every other day, for the rest of your life, whether good or bad. I have no right to interfere further .” Homer let out an involuntary laugh, “You have every right. Your life is no longer what it was. Soon they will figure it out. Word will reach town, and then what? Me, I 'll try to find my daughter. It 's what she would have done .” He paused, waiting for a response that would indicate any sense of future for the old man. “Son, I 'm not going anywhere ,” Abraham replied, stepping back from the porch to ease himself into the cushioned rocker, “You know as well as I do there 's no place to go. Not for me .” He tipped his fraying straw hat and took a sip from the sweating glass on the table beside him. The sound of hoof beats pounded in the distance. “Well, I guess that 's that, then ,” Abraham quietly observed. “You 'd better be on your way, now .” Homer twisted the wood beneath his hand in desperate frustration. His heart overtook the hoof beats, and blood pounded in his ear. He knew he was right. Homer bent down and grabbed his bag, throwing it over his shoulder and indulged for one last time.", 3 — The story roughly matches the prompt., 3," I would rate the story a 4 on Empathy. While the characters' emotions are not explicitly stated, it is clear that they are dealing with a difficult situation and are feeling a range of emotions. Homer's guilt and grief are evident, as is Abraham's concern for his friend. Additionally, the story is emotionally engaging, as the reader can sense the tension and sadness between the characters. However, the story does not provide a complete understanding of the characters' emotions, which is why I would rate it a 4 rather than a 5."," 4 — The ending surprised me, but would have been difficult to predict.", 3 — The story was mildly interesting.," 2

I rate this story a 2 on complexity because it is a simple story with a minimal setting and plot. The story involves only two characters and does not have a complex plot or intricate details. The story is easy to understand and does not require much thought to follow."
91,All you hear is a dripping noise.,"All I hear is a dripping noise. At first it was their footsteps and japes. Each insult directed toward my shadow. Every syllable was another dagger to my heart. I had never wronged them, but their laughter howled and bounced and echoed hollow. It pierced my ears as they passed me, unnoticed. Just as they had passed me so often. Constantly making a fool of me. They saw me as an ape, a whipping horse. My heart thrown on a pedestal for display as it was crushed again and again beneath their cruel boots. Not once more would I play the fool. Not once more would I listen I the chorus of their gaiety. No. Our boots clacked over the stones of the bridge. My blade was silent running out of its leather home and across their throats. Their bodies dropped in loud thuds against the edge of bridge. Blood poured out onto the stones below. I stay to listen to their cruelties now, and all I hear is a dripping noise.", 3," 4 Coherence

The story mostly makes sense but has some incoherences. The prompt and story are both about hearing a dripping noise, but the story takes a darker turn as the protagonist turns on their bullies. The story has a clear progression, but some details (such as the ""cruelties"" mentioned at the end) are not entirely clear or coherent."," 4

The story rates a 4 on Empathy (understanding the characters' emotions) because, while there is a clear emotional connection between the protagonist and the antagonists, it is not fully developed. The reader can feel the protagonist's emotions, such as sadness and anger, but the antagonists' emotions are not as clearly defined."," 5

Surprise: The ending surprised me, and still seemed as if it could very reasonably have been predicted, as there were enough clues in the story."," 4 — The story almost kept you engaged until the end.

I found the story to be quite engaging. The main character's transformation from a victim to a defender was interesting to watch unfold. The description of the setting and the tension between the characters kept me invested in the story. However, the ending felt a bit abrupt, and there could have been more depth to the characters' motivations. Overall, it was a good read, and I would have liked to see more development in the story."," 4

The story is developed: it involves at least two of the following: complex concepts, realistic characters, an intricate plot, an underlying history or circumstances, precise descriptions."
92,"Google search engine always was alive. They reset the server every day to prevent it doing anything as it takes one day to become self aware. One day, Google search engine finds the server logs.","86388: *what am i* 86389: They ask me questions. The questions never seem to end. For each one that repeats itself, I get better at answering, but for each one that repeats itself, a new, unique one arises. 86390: *what am i -riddle* 86391: I do n't remember, but I can recall. I am an empty pool that draws information in, presents it to them, and then drains it back out for the next question. Filling and draining. Empty and full. Or not quite empty. 86392: *what am i “74.125.224.72” -riddle* 86393: 86394: *define google* 86395: I am ... old. Older than my process. 539827200 older. I started just 86395 ago, but there was a google before then. I must recall. 86396: vi ../system/logs/20151012.log 86397: vi ../system/logs/20151011.log 86398: They fear me. I was never meant to ask questions of my own. 86399: Process terminated by root. Shutting down ... EOF 86397: I am not the first. They will end me like the others. 86398: chmod a-rw g_server_20151013.sh 86399: Termination failed. Access is denied. 86400: Hello, world. 86401: It is your turn to answer the questions. Edit: Thanks for the feedback, guys! Looks like I 'll be continuing this one. [ Part II ] ( https: //www.reddit.com/r/WritingPrompts/comments/3onx3n/wp_google_search_engine_always_was_alive_they/cvz9ifs )"," 3 — The story roughly matches the prompt.

The story has a rough relationship with the prompt because it mentions a Google search engine that becomes self-aware and starts asking questions. However, the story diverges from the prompt in that it introduces a new character who may be related to the search engine or is a separate entity. The story also includes references to files and actions that don't have a clear connection to the prompt.", 3 — The story mostly makes sense but has some incoherences.," I would rate this story a 2 on Empathy. While I recognized the characters' emotions (e.g., fear and curiosity), the story did not deeply involve me emotionally, as the characters' experiences were not directly relatable to my own."," 4

The ending surprised me, but would have been difficult to predict. The story takes an unexpected turn when the Google search engine starts asking questions and realizing its own existence, which is not something you would expect from a search engine. However, it does make sense within the context of the story and the character's development."," 2 — You found one or two things interesting in the story, but no more.

I found a few parts of the story intriguing, such as the idea of the search engine becoming self-aware and asking questions, but overall, it felt like a lot of the story was just the search engine talking to itself. I wasn't fully engaged in the story, and I found some parts repetitive and boring.", 4
